"","Estimate","Std. Error","t value","FDR","bcpid"
"bcpIDd1A10COPR_B",0.0415451163004027,0.017403382652431,2.38718628039816,0.0174904987204876,"bcpIDd1A10COPR_B"
"bcpIDd1A11COPR_A",0.0270822633015225,0.00862072499410145,3.14152966485452,0.00181910585551937,"bcpIDd1A11COPR_A"
"bcpIDd1A11COPR_B",-0.0035799375848483,0.0104852855331274,-0.341424901929259,0.732981826805087,"bcpIDd1A11COPR_B"
"bcpIDd1A7COPR_A",0.055026580736304,0.00949072841830187,5.79793018101656,0.0000000146324793893953,"bcpIDd1A7COPR_A"
"bcpIDd1A9COPR_B",-0.00316063831783691,0.0268491327384108,-0.117718451043867,0.906356034399161,"bcpIDd1A9COPR_B"
"bcpIDd1B10COPR_A",0.0245126069983078,0.0146477898745678,1.67346795716041,0.0950990402047206,"bcpIDd1B10COPR_A"
"bcpIDd1B10COPR_B",0.0987460892015923,0.0107495118111976,9.18609988397144,0.00000000000000000322068268346558,"bcpIDd1B10COPR_B"
"bcpIDd1B11COPR_A",0.0115319643323023,0.0336284437911168,0.342922925721248,0.731855489544219,"bcpIDd1B11COPR_A"
"bcpIDd1B11COPR_B",0.023717263855217,0.145012740341368,0.163552966445468,0.870174344269927,"bcpIDd1B11COPR_B"
"bcpIDd1B12COPR_A",0.0572987840041737,0.012131874534417,4.7229951020036,0.00000332945902622075,"bcpIDd1B12COPR_A"
"bcpIDd1B1COPR_A",0.0958486848908174,0.00828936502802453,11.5628500574862,0.0000000000000000000000000156806254570613,"bcpIDd1B1COPR_A"
"bcpIDd1B3COPR_A",0.063864041677601,0.00792579548049925,8.05774534994412,0.0000000000000114033089153618,"bcpIDd1B3COPR_A"
"bcpIDd1B5COPR_A",0.00978080125325276,0.0916208975569157,0.106752951717995,0.915044108429417,"bcpIDd1B5COPR_A"
"bcpIDd1B7COPR_A",0.0981059450524501,0.00768035389654586,12.773622983255,0.000000000000000000000000000000422825627015016,"bcpIDd1B7COPR_A"
"bcpIDd1B9COPR_A",0.0176255612219376,0.00895349734364844,1.96856720289765,0.0497654093655152,"bcpIDd1B9COPR_A"
"bcpIDd1B9COPR_B",0.0523818433424887,0.00897931785220041,5.83361054867351,0.0000000120392583322692,"bcpIDd1B9COPR_B"
"bcpIDd1C10COPR_A",0.036986535415775,0.0117929885183664,3.13631573185815,0.00185087906317429,"bcpIDd1C10COPR_A"
"bcpIDd1C10COPR_B",-0.000941019415597342,0.0157271700572044,-0.0598339950655187,0.952320867353477,"bcpIDd1C10COPR_B"
"bcpIDd1C11COPR_A",-0.0276356181495555,0.0404766824766344,-0.68275403167017,0.495198965471604,"bcpIDd1C11COPR_A"
"bcpIDd1C11COPR_B",-0.00424328294718327,0.0108312216714454,-0.391764020338533,0.695463101445626,"bcpIDd1C11COPR_B"
"bcpIDd1C12COPR_A",0.0846993363043435,0.0096786523060782,8.75114981154476,0.0000000000000000814183195904098,"bcpIDd1C12COPR_A"
"bcpIDd1C1COPR_A",0.0601923401151137,0.00857991939486161,7.01549016313161,0.0000000000113307823587488,"bcpIDd1C1COPR_A"
"bcpIDd1C3COPR_A",0.072255800798422,0.00878339027659214,8.22641355138058,0.00000000000000351221462349654,"bcpIDd1C3COPR_A"
"bcpIDd1C5COPR_A",0.00181325010337539,0.00822109084964452,0.220560767000135,0.825558791756283,"bcpIDd1C5COPR_A"
"bcpIDd1C5COPR_B",0.0595905450097736,0.166836937382472,0.357178367960345,0.721166408402069,"bcpIDd1C5COPR_B"
"bcpIDd1C7COPR_A",0.0139389062217506,0.024870399301979,0.560461697960814,0.575511250933681,"bcpIDd1C7COPR_A"
