"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"0000",0,0,0.143,0,0,0,0
"1000",0,0,0,0,0,0,0
"0100",0,0,0,0,0,0,0
"0010",0,0,0,0,0,0,0
"0001",0,0.133,0,0.158,0,0,0
"1100",0.125,0.133,0.143,0,0,0,0
"1010",0,0,0,0,0,0,0
"1001",0,0,0,0,0,0,0
"0101",0,0.133,0,0,0,0,0
"0110",0,0,0,0,0,0,0
"0011",0,0,0,0.053,0.368,0.348,0.182
"1110",0.125,0.067,0,0.105,0,0,0
"1101",0.375,0.4,0.143,0.105,0,0,0
"1011",0,0,0,0.053,0,0,0
"0111",0,0,0,0,0.316,0.391,0.273
"1111",0.375,0.133,0.571,0.526,0.316,0.261,0.545
"n_extinct",24,17,25,13,11,9,21
"n_tot",32,32,32,32,30,32,32
