"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"0000",0,0,0.031,0,0,0,0
"1000",0,0,0,0,0,0,0
"0100",0,0,0,0,0,0,0
"0010",0,0,0,0,0,0,0
"0001",0,0.062,0,0.094,0,0,0
"1100",0.031,0.062,0.031,0,0,0,0
"1010",0,0,0,0,0,0,0
"1001",0,0,0,0,0,0,0
"0101",0,0.062,0,0,0,0,0
"0110",0,0,0,0,0,0,0
"0011",0,0,0,0.031,0.233,0.25,0.062
"1110",0.031,0.031,0,0.062,0,0,0
"1101",0.094,0.188,0.031,0.062,0,0,0
"1011",0,0,0,0.031,0,0,0
"0111",0,0,0,0,0.2,0.281,0.094
"1111",0.094,0.062,0.125,0.312,0.2,0.188,0.188
"n_extinct",0.75,0.531,0.781,0.406,0.367,0.281,0.656
"n_tot",32,32,32,32,30,32,32
