"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"0000",0.35,0.593,0.781,0.76,0.583,0.68,0.524
"1000",0,0.037,0.094,0.2,0.292,0.32,0.429
"0100",0,0,0.031,0.04,0,0,0
"0010",0.05,0.111,0.031,0,0,0,0
"0001",0.05,0.111,0.031,0,0.042,0,0
"1100",0,0,0.031,0,0,0,0.048
"1010",0,0,0,0,0,0,0
"1001",0,0,0,0,0.083,0,0
"0101",0,0.037,0,0,0,0,0
"0110",0,0,0,0,0,0,0
"0011",0.45,0.074,0,0,0,0,0
"1110",0,0,0,0,0,0,0
"1101",0,0.037,0,0,0,0,0
"1011",0,0,0,0,0,0,0
"0111",0.1,0,0,0,0,0,0
"1111",0,0,0,0,0,0,0
"n_extinct",12,5,0,7,6,7,11
"n_tot",32,32,32,32,30,32,32
