"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"0000",0.1,0.519,0.312,0.16,0.042,0,0.048
"1000",0.5,0.259,0.094,0,0,0,0
"0100",0,0,0.031,0.04,0,0,0
"0010",0,0.037,0.125,0.16,0.125,0,0.048
"0001",0,0,0,0,0,0.04,0
"1100",0.25,0.074,0.094,0,0,0,0
"1010",0,0,0,0.04,0,0,0
"1001",0,0,0.031,0,0,0,0
"0101",0,0,0,0,0,0,0
"0110",0,0,0.031,0.12,0.417,0,0
"0011",0,0.037,0.062,0,0.042,0.08,0.238
"1110",0.05,0.037,0.031,0.04,0.042,0,0
"1101",0.05,0.037,0.031,0,0,0,0
"1011",0,0,0.031,0.04,0,0,0
"0111",0,0,0.094,0.28,0.25,0.72,0.571
"1111",0.05,0,0.031,0.12,0.083,0.16,0.095
"n_extinct",12,5,0,7,6,7,11
"n_tot",32,32,32,32,30,32,32
