"","ec_mean","ec_se","uct_mean","uct_se","ucm_mean","ucm_se","ccpt_mean","ccpt_se","ccpm_mean","ccpm_se","n_reps","day","plateloc","group"
"1",1328786.4,158208.519787336,802.6,412.513393721949,7.16607142857143,3.68315530108883,0.000596278600689608,0.000270146104994392,0.00000532391607758579,0.00000241201879459279,5,NA,NA,"ref"
"2",450194,NA,893,NA,8.11818181818182,NA,0.00197966245979157,NA,0.0000179969314526506,NA,1,50,"A1","COPR"
"3",377924,NA,714,NA,6.49090909090909,NA,0.00188570613620397,NA,0.0000171427830563998,NA,1,50,"E6","COPR"
"4",188543,NA,3668,NA,33.3454545454545,NA,0.0190831950304613,NA,0.000173483591186012,NA,1,50,"F8","COPR"
"5",278893,62013.5036826658,53.3333333333333,12.8970280814354,0.484848484848485,0.117245709831231,0.000192282591010065,0.0000364837306581552,0.00000174802355463696,0.000000331670278710502,3,0,"A1","ancestral"
"6",315070.333333333,31782.6430986055,16,2,0.145454545454545,0.0181818181818182,0.0000513353512915302,0.0000103469454206116,0.000000466685011741184,0.000000094063140187378,3,0,"E6","ancestral"
"7",254789.666666667,31336.8572823334,23.3333333333333,14.4683562761405,0.212121212121212,0.131530511601277,0.0000911664204319959,0.0000542076050508761,0.000000828785640290872,0.000000492796409553419,3,0,"F8","ancestral"
"8",172915.333333333,31632.0398383243,30.3333333333333,14.9777612924406,0.275757575757576,0.136161466294915,0.00016909835872861,0.0000525058739261983,0.00000153725780662372,0.000000477326126601802,3,50,"A1","SALT"
"9",296522,41976.7552462074,121.666666666667,89.5786432880814,1.10606060606061,0.814351302618922,0.000406950459703632,0.000285415778923009,0.00000369954963366939,0.00000259468889930008,3,50,"E6","SALT"
"10",193294,19446.5427518621,63,26.8514431641951,0.572727272727273,0.24410402876541,0.000332507763825487,0.000150091435813832,0.00000302279785295897,0.00000136446759830756,3,50,"F8","SALT"
