"","u","v","power","f2","sig.level","n"
"1",1,62,0.0499999999999999,0,0.05,"64"
"2",1,62,0.0957272170003218,0.0151515151515152,0.05,"64"
"3",1,62,0.14299430495986,0.0303030303030303,0.05,"64"
"4",1,62,0.191022684493629,0.0454545454545454,0.05,"64"
"5",1,62,0.2391549748098,0.0606060606060606,0.05,"64"
"6",1,62,0.286843783103958,0.0757575757575758,0.05,"64"
"7",1,62,0.333640527414107,0.0909090909090909,0.05,"64"
"8",1,62,0.379184556932686,0.106060606060606,0.05,"64"
"9",1,62,0.423192751966976,0.121212121212121,0.05,"64"
"10",1,62,0.465449739992991,0.136363636363636,0.05,"64"
"11",1,62,0.505798808926088,0.151515151515152,0.05,"64"
"12",1,62,0.544133555851689,0.166666666666667,0.05,"64"
"13",1,62,0.580390296040478,0.181818181818182,0.05,"64"
"14",1,62,0.614541220375582,0.196969696969697,0.05,"64"
"15",1,62,0.646588279840332,0.212121212121212,0.05,"64"
"16",1,62,0.676557770537571,0.227272727272727,0.05,"64"
"17",1,62,0.70449556139687,0.242424242424242,0.05,"64"
"18",1,62,0.730462937968831,0.257575757575758,0.05,"64"
"19",1,62,0.754532999952206,0.272727272727273,0.05,"64"
"20",1,62,0.776787566735545,0.287878787878788,0.05,"64"
"21",1,62,0.797314546290065,0.303030303030303,0.05,"64"
"22",1,62,0.816205707705323,0.318181818181818,0.05,"64"
"23",1,62,0.833554826927765,0.333333333333333,0.05,"64"
"24",1,62,0.849456152612231,0.348484848484848,0.05,"64"
"25",1,62,0.864003156349755,0.363636363636364,0.05,"64"
"26",1,62,0.877287530181013,0.378787878787879,0.05,"64"
"27",1,62,0.889398397338092,0.393939393939394,0.05,"64"
"28",1,62,0.90042171054548,0.409090909090909,0.05,"64"
"29",1,62,0.910439800325065,0.424242424242424,0.05,"64"
"30",1,62,0.919531062464637,0.439393939393939,0.05,"64"
"31",1,62,0.927769753774813,0.454545454545454,0.05,"64"
"32",1,62,0.935225880905415,0.46969696969697,0.05,"64"
"33",1,62,0.941965165147109,0.484848484848485,0.05,"64"
"34",1,62,0.94804906886229,0.5,0.05,"64"
"35",1,62,0.95353487113085,0.515151515151515,0.05,"64"
"36",1,62,0.958475781377948,0.53030303030303,0.05,"64"
"37",1,62,0.962921085154603,0.545454545454545,0.05,"64"
"38",1,62,0.966916306452409,0.560606060606061,0.05,"64"
"39",1,62,0.97050339024295,0.575757575757576,0.05,"64"
