"","u","v","power","f2","sig.level","n"
"1",1,54,0.0499999999999999,0,0.05,"56"
"2",1,54,0.0895962195116509,0.0151515151515152,0.05,"56"
"3",1,54,0.130435017557071,0.0303030303030303,0.05,"56"
"4",1,54,0.17199058218212,0.0454545454545455,0.05,"56"
"5",1,54,0.213807652113108,0.0606060606060606,0.05,"56"
"6",1,54,0.255495997134683,0.0757575757575758,0.05,"56"
"7",1,54,0.296724872850346,0.0909090909090909,0.05,"56"
"8",1,54,0.337217534682568,0.106060606060606,0.05,"56"
"9",1,54,0.376745926436628,0.121212121212121,0.05,"56"
"10",1,54,0.415125581639966,0.136363636363636,0.05,"56"
"11",1,54,0.452210798780185,0.151515151515152,0.05,"56"
"12",1,54,0.487890110666663,0.166666666666667,0.05,"56"
"13",1,54,0.522082076578462,0.181818181818182,0.05,"56"
"14",1,54,0.554731386990017,0.196969696969697,0.05,"56"
"15",1,54,0.585805302212513,0.212121212121212,0.05,"56"
"16",1,54,0.615290404427226,0.227272727272727,0.05,"56"
"17",1,54,0.643189663283171,0.242424242424242,0.05,"56"
"18",1,54,0.669519789307199,0.257575757575758,0.05,"56"
"19",1,54,0.694308873410358,0.272727272727273,0.05,"56"
"20",1,54,0.717594285632787,0.287878787878788,0.05,"56"
"21",1,54,0.739420818522528,0.303030303030303,0.05,"56"
"22",1,54,0.759839055198903,0.318181818181818,0.05,"56"
"23",1,54,0.778903948590968,0.333333333333333,0.05,"56"
"24",1,54,0.796673582256731,0.348484848484848,0.05,"56"
"25",1,54,0.813208109564243,0.363636363636364,0.05,"56"
"26",1,54,0.828568844466097,0.378787878787879,0.05,"56"
"27",1,54,0.842817491809686,0.393939393939394,0.05,"56"
"28",1,54,0.856015501730729,0.409090909090909,0.05,"56"
"29",1,54,0.868223534292276,0.424242424242424,0.05,"56"
"30",1,54,0.879501020738369,0.439393939393939,0.05,"56"
"31",1,54,0.889905814324857,0.454545454545455,0.05,"56"
"32",1,54,0.899493908718501,0.46969696969697,0.05,"56"
"33",1,54,0.90831922848744,0.484848484848485,0.05,"56"
"34",1,54,0.916433472585275,0.5,0.05,"56"
"35",1,54,0.92388600678719,0.515151515151515,0.05,"56"
"36",1,54,0.930723797313343,0.53030303030303,0.05,"56"
"37",1,54,0.936991379273652,0.545454545454545,0.05,"56"
"38",1,54,0.942730854282564,0.560606060606061,0.05,"56"
"39",1,54,0.947981912249898,0.575757575757576,0.05,"56"
"40",1,54,0.952781872322257,0.590909090909091,0.05,"56"
"41",1,54,0.957165742807712,0.606060606060606,0.05,"56"
"42",1,54,0.96116628783904,0.621212121212121,0.05,"56"
"43",1,54,0.964814109369126,0.636363636363636,0.05,"56"
"44",1,54,0.96813773364604,0.651515151515151,0.05,"56"
"45",1,54,0.971163703274615,0.666666666666667,0.05,"56"
"46",1,54,0.973916672524452,0.681818181818182,0.05,"56"
"47",1,54,0.976419504353575,0.696969696969697,0.05,"56"
"48",1,54,0.978693367868255,0.712121212121212,0.05,"56"
"49",1,54,0.980757835160527,0.727272727272727,0.05,"56"
"50",1,54,0.982630976658398,0.742424242424242,0.05,"56"
"51",1,54,0.984329454292394,0.757575757575758,0.05,"56"
"52",1,54,0.985868611928314,0.772727272727273,0.05,"56"
"53",1,54,0.987262562642271,0.787878787878788,0.05,"56"
"54",1,54,0.988524272068305,0.803030303030303,0.05,"56"
"55",1,54,0.989665640269307,0.818181818181818,0.05,"56"
"56",1,54,0.990697575423926,0.833333333333333,0.05,"56"
"57",1,54,0.991630067839573,0.848484848484848,0.05,"56"
"58",1,54,0.992472257942049,0.863636363636364,0.05,"56"
"59",1,54,0.993232500746729,0.878787878787879,0.05,"56"
"60",1,54,0.993918426462119,0.893939393939394,0.05,"56"
"61",1,54,0.994536997312857,0.909090909090909,0.05,"56"
"62",1,54,0.995094560692505,0.924242424242424,0.05,"56"
"63",1,54,0.995596898774392,0.939393939393939,0.05,"56"
"64",1,54,0.996049274722078,0.954545454545455,0.05,"56"
"65",1,54,0.99645647565039,0.96969696969697,0.05,"56"
"66",1,54,0.996822852494054,0.984848484848485,0.05,"56"
"67",1,54,0.997152356944258,1,0.05,"56"
"68",1,54,0.997448575614498,1.01515151515152,0.05,"56"
"69",1,54,0.997714761596166,1.03030303030303,0.05,"56"
"70",1,54,0.997953863561931,1.04545454545455,0.05,"56"
"71",1,54,0.998168552571323,1.06060606060606,0.05,"56"
"72",1,54,0.998361246728322,1.07575757575758,0.05,"56"
"73",1,54,0.998534133835432,1.09090909090909,0.05,"56"
"74",1,54,0.998689192182809,1.10606060606061,0.05,"56"
"75",1,54,0.9988282096048,1.12121212121212,0.05,"56"
"76",1,54,0.998952800929709,1.13636363636364,0.05,"56"
"77",1,54,0.999064423942004,1.15151515151515,0.05,"56"
"78",1,54,0.99916439396953,1.16666666666667,0.05,"56"
"79",1,54,0.999253896919676,1.18181818181818,0.05,"56"
"80",1,54,0.999334002547699,1.1969696969697,0.05,"56"
"81",1,54,0.999405673861793,1.21212121212121,0.05,"56"
"82",1,54,0.999469778308067,1.22727272727273,0.05,"56"
"83",1,54,0.999527096671148,1.24242424242424,0.05,"56"
"84",1,54,0.999578331414999,1.25757575757576,0.05,"56"
"85",1,54,0.999624114260558,1.27272727272727,0.05,"56"
"86",1,54,0.999665013065023,1.28787878787879,0.05,"56"
"87",1,54,0.999701538062756,1.3030303030303,0.05,"56"
"88",1,54,0.999734147523182,1.31818181818182,0.05,"56"
"89",1,54,0.999763252876769,1.33333333333333,0.05,"56"
"90",1,54,0.999789223356122,1.34848484848485,0.05,"56"
"91",1,54,0.999812390195437,1.36363636363636,0.05,"56"
"92",1,54,0.99983305042807,1.37878787878788,0.05,"56"
"93",1,54,0.999851470318649,1.39393939393939,0.05,"56"
"94",1,54,0.99986788846314,1.40909090909091,0.05,"56"
"95",1,54,0.999882518587444,1.42424242424242,0.05,"56"
"96",1,54,0.999895552072462,1.43939393939394,0.05,"56"
"97",1,54,0.999907160231188,1.45454545454545,0.05,"56"
"98",1,54,0.999917496361114,1.46969696969697,0.05,"56"
"99",1,54,0.999926697593202,1.48484848484848,0.05,"56"
"100",1,54,0.999934886556775,1.5,0.05,"56"
"101",1,18,0.05,0,0.05,"20"
"102",1,18,0.0629905403109131,0.0151515151515152,0.05,"20"
"103",1,18,0.0761579227397439,0.0303030303030303,0.05,"20"
"104",1,18,0.0894801931948541,0.0454545454545455,0.05,"20"
"105",1,18,0.102936350641639,0.0606060606060606,0.05,"20"
"106",1,18,0.116506326262273,0.0757575757575758,0.05,"20"
"107",1,18,0.130170959804966,0.0909090909090909,0.05,"20"
"108",1,18,0.143911980241159,0.106060606060606,0.05,"20"
"109",1,18,0.15771197884721,0.121212121212121,0.05,"20"
"110",1,18,0.171554388210607,0.136363636363636,0.05,"20"
"111",1,18,0.185423457372632,0.151515151515152,0.05,"20"
"112",1,18,0.199304232212099,0.166666666666667,0.05,"20"
"113",1,18,0.213182527728825,0.181818181818182,0.05,"20"
"114",1,18,0.227044907423843,0.196969696969697,0.05,"20"
"115",1,18,0.240878659699239,0.212121212121212,0.05,"20"
"116",1,18,0.254671774972998,0.227272727272727,0.05,"20"
"117",1,18,0.268412921580868,0.242424242424242,0.05,"20"
"118",1,18,0.282091428092416,0.257575757575758,0.05,"20"
"119",1,18,0.295697254852047,0.272727272727273,0.05,"20"
"120",1,18,0.309220975798878,0.287878787878788,0.05,"20"
"121",1,18,0.322653756041025,0.303030303030303,0.05,"20"
"122",1,18,0.335987330610463,0.318181818181818,0.05,"20"
"123",1,18,0.349213983577689,0.333333333333333,0.05,"20"
"124",1,18,0.362326526371862,0.348484848484848,0.05,"20"
"125",1,18,0.375318281839963,0.363636363636364,0.05,"20"
"126",1,18,0.388183058861598,0.378787878787879,0.05,"20"
"127",1,18,0.400915136519528,0.393939393939394,0.05,"20"
"128",1,18,0.413509244431898,0.409090909090909,0.05,"20"
"129",1,18,0.425960544318212,0.424242424242424,0.05,"20"
"130",1,18,0.438264612005271,0.439393939393939,0.05,"20"
"131",1,18,0.450417419877731,0.454545454545455,0.05,"20"
"132",1,18,0.462415319776573,0.46969696969697,0.05,"20"
"133",1,18,0.474255025261003,0.484848484848485,0.05,"20"
"134",1,18,0.485933599408897,0.5,0.05,"20"
"135",1,18,0.497448433492296,0.515151515151515,0.05,"20"
"136",1,18,0.508797235150391,0.53030303030303,0.05,"20"
"137",1,18,0.519978012720846,0.545454545454545,0.05,"20"
"138",1,18,0.530989060831767,0.560606060606061,0.05,"20"
"139",1,18,0.541828946434963,0.575757575757576,0.05,"20"
"140",1,18,0.552496495276301,0.590909090909091,0.05,"20"
"141",1,18,0.562990778798322,0.606060606060606,0.05,"20"
