"","Estimate","Std. Error","t value","FDR","bcpid"
"bcpIDd1A10SALT_A",0.0457703936633844,0.0086771960804015,5.27479075490324,0.000000197813893954891,"bcpIDd1A10SALT_A"
"bcpIDd1A10SALT_B",0.040805791972055,0.0117043659853036,3.48637354840851,0.000532474637743495,"bcpIDd1A10SALT_B"
"bcpIDd1A11SALT_A",0.0342411640450052,0.0109270744334818,3.13360765074377,0.00182746968264365,"bcpIDd1A11SALT_A"
"bcpIDd1A11SALT_B",0.0326682263207387,0.00948064657636461,3.44578041778089,0.000617059629210974,"bcpIDd1A11SALT_B"
"bcpIDd1A3SALT_A",0.0505566377543205,0.0133318451519066,3.79217108946771,0.000167476586072924,"bcpIDd1A3SALT_A"
"bcpIDd1A3SALT_B",0.0160060261515896,0.0514945994968733,0.310829219140959,0.756059218739827,"bcpIDd1A3SALT_B"
"bcpIDd1A7SALT_A",-0.000980984436637452,0.0166758033339237,-0.0588268173349004,0.953113411258222,"bcpIDd1A7SALT_A"
"bcpIDd1A7SALT_B",-0.0161904666343766,0.015903728739241,-1.01802960172655,0.30915329062353,"bcpIDd1A7SALT_B"
"bcpIDd1A9SALT_A",0.0407467886494264,0.011271071129643,3.61516560234121,0.000330391065598971,"bcpIDd1A9SALT_A"
"bcpIDd1A9SALT_B",0.0190240066785563,0.0094220907760212,2.01908548015389,0.044008304435981,"bcpIDd1A9SALT_B"
"bcpIDd1B10SALT_A",0.0017344640339354,0.0149518427049665,0.116003362806864,0.907696174055083,"bcpIDd1B10SALT_A"
"bcpIDd1B10SALT_B",0.029401777861521,0.0125507437319052,2.34263231642432,0.0195371417097852,"bcpIDd1B10SALT_B"
"bcpIDd1B11SALT_A",0.0386896066418548,0.0128212095152396,3.01762533369939,0.0026767542468193,"bcpIDd1B11SALT_A"
"bcpIDd1B11SALT_B",0.0978183494857525,0.123252326093768,0.793643029595519,0.42777750173691,"bcpIDd1B11SALT_B"
"bcpIDd1B12SALT_A",0.0402162100478584,0.0116986799773769,3.4376707564981,0.000635395128385918,"bcpIDd1B12SALT_A"
"bcpIDd1B1SALT_A",0.0270079180192784,0.012227571969276,2.20877195302067,0.0276405872498064,"bcpIDd1B1SALT_A"
"bcpIDd1B1SALT_B",-0.0186548634653192,0.010591539518663,-1.76129857538161,0.0787954028738367,"bcpIDd1B1SALT_B"
"bcpIDd1B3SALT_A",-0.021026996537371,0.0174097400891443,-1.20777199600367,0.227702542756705,"bcpIDd1B3SALT_A"
"bcpIDd1B3SALT_B",-0.0213821616268377,0.00900613842489917,-2.37417643589873,0.0179625207535514,"bcpIDd1B3SALT_B"
"bcpIDd1B5SALT_A",0.047026128372893,0.103140212254578,0.455943684281161,0.648627254033246,"bcpIDd1B5SALT_A"
"bcpIDd1B5SALT_B",0.0104354494790888,0.00876631114907487,1.19040372873259,0.234449249452983,"bcpIDd1B5SALT_B"
"bcpIDd1B7SALT_A",0.0336542201300405,0.0103438828871474,3.25353839532126,0.00121639382365863,"bcpIDd1B7SALT_A"
"bcpIDd1B7SALT_B",-0.00391501693542713,0.0105877404370982,-0.369768881158945,0.711710331843868,"bcpIDd1B7SALT_B"
"bcpIDd1B9SALT_A",0.0238790404753664,0.0118622766991821,2.0130233917923,0.0446444522343872,"bcpIDd1B9SALT_A"
"bcpIDd1B9SALT_B",0.0346699608596059,0.0102406786509934,3.38551399191134,0.000766012013373192,"bcpIDd1B9SALT_B"
"bcpIDd1C10SALT_B",0.011353094331333,0.0158518320994368,0.716200768473717,0.47419975620373,"bcpIDd1C10SALT_B"
"bcpIDd1C11SALT_B",0.0410913878515853,0.0116598312016715,3.52418376740264,0.000463553047371315,"bcpIDd1C11SALT_B"
"bcpIDd1C12SALT_A",-0.00078475626055388,0.0127476755801528,-0.0615607336113641,0.950937100363555,"bcpIDd1C12SALT_A"
"bcpIDd1C12SALT_B",-0.0420181434199281,0.0127366503521779,-3.29899481088788,0.00103907077566542,"bcpIDd1C12SALT_B"
