experiment.id,a.primer,p1.primer,processing.id,sample.type,evo.time.point,replicate,medium,barcode.1,barcode.2,barcode.3,barcode.4,barcode.5,barcode.6,barcode.7,barcode.8,barcode.9,barcode.10,barcode.11,barcode.12,barcode.13,barcode.14,barcode.15,barcode.16,barcode.17,barcode.18,barcode.19,barcode.20,barcode.21,barcode.22,barcode.23,barcode.24,barcode.25,barcode.26,barcode.27,barcode.28,barcode.29,barcode.30,barcode.31,barcode.32,barcode.33,barcode.34,barcode.35,barcode.36,barcode.37,barcode.38,barcode.39,barcode.40,barcode.41,barcode.42,barcode.43,barcode.44,barcode.45,barcode.46,barcode.47,barcode.48,barcode.49,barcode.50,barcode.51,barcode.52,barcode.53,barcode.54,barcode.55,barcode.56,barcode.57,barcode.58,barcode.59,barcode.60,barcode.61,barcode.62,barcode.63,barcode.64,barcode.65,barcode.66,barcode.67,barcode.68,barcode.69,barcode.70,barcode.71,barcode.72,barcode.73,barcode.74,barcode.75,barcode.76,barcode.77,barcode.78,barcode.79,barcode.80,barcode.81,barcode.82,barcode.83,barcode.84,barcode.85,barcode.86,barcode.87,barcode.88,barcode.89,barcode.90,barcode.91,barcode.92,barcode.93,barcode.94,barcode.95,barcode.96,barcode.97,barcode.98,barcode.99,barcode.100,barcode.101,barcode.102,barcode.103,barcode.104,barcode.105,barcode.106,barcode.107,barcode.108,barcode.109,barcode.110,barcode.111,barcode.112,barcode.113,barcode.114,barcode.115,barcode.116,barcode.117,barcode.118,barcode.119,barcode.120,barcode.121,barcode.122,barcode.123,barcode.124,barcode.125,barcode.126,barcode.127,barcode.128,barcode.129,barcode.130,barcode.131,barcode.132,barcode.133,barcode.134,barcode.135,barcode.136,barcode.137,barcode.138,barcode.139,barcode.140,barcode.141,barcode.142,barcode.143,barcode.144,barcode.145,barcode.146,barcode.147,barcode.148,barcode.149,barcode.150,barcode.151,barcode.152,barcode.153,barcode.154,barcode.155,barcode.156,barcode.157,barcode.158,barcode.159,barcode.160,barcode.161,barcode.162,barcode.163,barcode.164,barcode.165,barcode.166,barcode.167,barcode.168,barcode.169,barcode.170,barcode.171,barcode.172,barcode.173,barcode.174,barcode.175,barcode.176
Ancestral_R1,Ion_17,Ion_R1,1.1,plate,T=0,R=1,CM,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
Ancestral_R2,Ion_17,Ion_R2,1.2,plate,T=0,R=2,CM,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
Ancestral_R3,Ion_17,Ion_R3,1.3,plate,T=0,R=3,CM,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
SALT_A_25_R1,Ion_18,Ion_R1,2.1,plate,T=25,R=1,SALT,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
SALT_A_25_R2,Ion_18,Ion_R2,2.2,plate,T=25,R=2,SALT,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
SALT_A_25_R3,Ion_18,Ion_R3,2.3,plate,T=25,R=3,SALT,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
SALT_B_25_R1,Ion_19,Ion_R1,3.1,plate,T=25,R=1,SALT,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
SALT_B_25_R2,Ion_19,Ion_R2,3.2,plate,T=25,R=2,SALT,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
SALT_B_25_R3,Ion_19,Ion_R3,3.3,plate,T=25,R=3,SALT,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
SALT_A_49_R1,Ion_20,Ion_R1,4.1,plate,T=49,R=1,SALT,d1A2,d1A3,d1A4,d1A6,d1A7,d1A8,d1A9,d1A10,d1A11,d1B1,d1B2,d1B3,d1B4,d1B5,d1B6,d1B7,d1B8,d1B9,d1B10,d1B11,d1B12,d1C1,d1C2,d1C3,d1C4,d1C5,d1C6,d1C7,d1C8,d1C9,d1C10,d1C11,d1C12,d1D1,d1D2,d1D3,d1D4,d1D5,d1D6,d1D7,d1D8,d1D9,d1D10,d1D11,d1E1,d1E2,d1E3,d1E4,d1E5,d1E6,d1E7,d1E8,d1E9,d1E10,d1E11,d1F1,d1F2,d1F3,d1F4,d1F5,d1F6,d1F7,d1F8,d1F9,d1F10,d1F11,d1G1,d1G2,d1G3,d1G4,d1G5,d1G6,d1G7,d1G8,d1G9,d1G10,d1G11,d1G12,d1H2,d1H3,d1H4,d1H5,d1H6,d1H7,d1H8,d1H9,d1H10,d1H11,d2A2,d2A3,d2A4,d2A6,d2A7,d2A8,d2A9,d2A10,d2A11,d2B1,d2B2,d2B3,d2B4,d2B5,d2B6,d2B7,d2B8,d2B9,d2B10,d2B11,d2B12,d2C1,d2C2,d2C3,d2C4,d2C5,d2C6,d2C7,d2C8,d2C9,d2C10,d2C11,d2C12,d2D1,d2D2,d2D3,d2D4,d2D5,d2D6,d2D7,d2D8,d2D9,d2D10,d2D11,d2E1,d2E2,d2E3,d2E4,d2E5,d2E6,d2E7,d2E8,d2E9,d2E10,d2E11,d2F1,d2F2,d2F3,d2F4,d2F5,d2F6,d2F7,d2F8,d2F9,d2F10,d2F11,d2G1,d2G2,d2G3,d2G4,d2G5,d2G6,d2G7,d2G8,d2G9,d2G10,d2G11,d2G12,d2H2,d2H3,d2H4,d2H5,d2H6,d2H7,d2H8,d2H9,d2H10,d2H11
