"","Estimate","Std. Error","t value","FDR","bcpid"
"bcpIDd1A10COPR_B",0.0591743953560335,0.0174553858006491,3.3900365212113,0.000774773039848101,"bcpIDd1A10COPR_B"
"bcpIDd1A11COPR_A",0.120816436456076,0.00848952684778839,14.2312332150231,0.000000000000000000000000000000000000662101489400197,"bcpIDd1A11COPR_A"
"bcpIDd1A11COPR_B",0.0524485126579552,0.00918455202836993,5.71051396910251,0.0000000232834356695567,"bcpIDd1A11COPR_B"
"bcpIDd1A7COPR_A",0.043470545493408,0.0099398217296377,4.37337275011596,0.0000159589251150438,"bcpIDd1A7COPR_A"
"bcpIDd1A7COPR_B",0.0959993867916326,0.0939614065552363,1.02168954585837,0.307600856788621,"bcpIDd1A7COPR_B"
"bcpIDd1A9COPR_B",0.0588368364064433,0.0199932829468803,2.94283017765345,0.00345898594276865,"bcpIDd1A9COPR_B"
"bcpIDd1B10COPR_A",0.00718651157075033,0.0142779757892101,0.503328460339678,0.615035312142203,"bcpIDd1B10COPR_A"
"bcpIDd1B10COPR_B",0.0814553357974359,0.00983470117628913,8.28244136118948,0.00000000000000228256594165052,"bcpIDd1B10COPR_B"
"bcpIDd1B11COPR_A",0.00866528283325596,0.0411526693507877,0.210564295584148,0.833344133644184,"bcpIDd1B11COPR_A"
"bcpIDd1B11COPR_B",0.070378635544557,0.0860785583220805,0.817609366565143,0.414110757167345,"bcpIDd1B11COPR_B"
"bcpIDd1B12COPR_A",0.0548229193342603,0.0124913676515106,4.38886444332863,0.0000149163355146031,"bcpIDd1B12COPR_A"
"bcpIDd1B1COPR_A",0.101229164302841,0.00829498281221218,12.2036617307763,0.000000000000000000000000000055230085461278,"bcpIDd1B1COPR_A"
"bcpIDd1B3COPR_A",0.0698000048988409,0.00820441316773203,8.50761699488325,0.000000000000000457361318998582,"bcpIDd1B3COPR_A"
"bcpIDd1B5COPR_A",0.0282369457533434,0.0499196386913051,0.565648039401006,0.571978722448407,"bcpIDd1B5COPR_A"
"bcpIDd1B7COPR_A",0.124896787288546,0.0076995550074833,16.2212994344683,0.00000000000000000000000000000000000000000000534605274925791,"bcpIDd1B7COPR_A"
"bcpIDd1B9COPR_A",0.0580278795317897,0.00859478991729247,6.75151808132498,0.000000000057352189536791,"bcpIDd1B9COPR_A"
"bcpIDd1B9COPR_B",0.0796022256912716,0.00847989605286198,9.38716998357612,0.000000000000000000662774774895698,"bcpIDd1B9COPR_B"
"bcpIDd1C10COPR_A",0.0334673359166357,0.011766330179405,2.84433084966583,0.00469984775560262,"bcpIDd1C10COPR_A"
"bcpIDd1C10COPR_B",0.00668867409185638,0.0140223408922869,0.477001247026844,0.63364514212425,"bcpIDd1C10COPR_B"
"bcpIDd1C11COPR_A",0.0187931237712251,0.0307064261237943,0.612025759541661,0.540899688730844,"bcpIDd1C11COPR_A"
