"","Estimate","Std. Error","t value","FDR","bcpid"
"bcpIDd1A10SALT_A",-0.0056561356881744,0.00631689370496263,-0.895398268888215,0.370998290250677,"bcpIDd1A10SALT_A"
"bcpIDd1A10SALT_B",-0.0164210623085858,0.00956156320839412,-1.71740351976858,0.0865149241116053,"bcpIDd1A10SALT_B"
"bcpIDd1A11SALT_A",0.00819315498012725,0.00821541975064368,0.997289880347905,0.319098618575354,"bcpIDd1A11SALT_A"
"bcpIDd1A11SALT_B",-0.0237314667407914,0.00745486685339195,-3.18335219226533,0.00154503021003683,"bcpIDd1A11SALT_B"
"bcpIDd1A3SALT_A",0.0931985786837331,0.00974369736480867,9.56501163719828,0.0000000000000000000484466993521824,"bcpIDd1A3SALT_A"
"bcpIDd1A3SALT_B",0.0377389096874484,0.0482243398561148,0.782569752122032,0.434244442109746,"bcpIDd1A3SALT_B"
"bcpIDd1A7SALT_A",0.0061906413502413,0.0118040147877255,0.524452185258076,0.600192832128448,"bcpIDd1A7SALT_A"
"bcpIDd1A7SALT_B",0.00429352861383576,0.0113946023165024,0.376803726411547,0.706476811392229,"bcpIDd1A7SALT_B"
"bcpIDd1A9SALT_A",-0.0123454476517877,0.00900629270561625,-1.37075798614553,0.171055735516188,"bcpIDd1A9SALT_A"
"bcpIDd1A9SALT_B",-0.0273862594888896,0.00759772273114057,-3.60453526115691,0.000343537547401742,"bcpIDd1A9SALT_B"
"bcpIDd1B10SALT_A",0.0273160027920713,0.0113860967202451,2.39906646353197,0.0167962971945918,"bcpIDd1B10SALT_A"
"bcpIDd1B10SALT_B",0.0271875480667841,0.0103203873215702,2.63435346171171,0.00868700704916921,"bcpIDd1B10SALT_B"
"bcpIDd1B11SALT_A",-0.0244495567599794,0.0105086283769369,-2.32661731702669,0.0203780072740537,"bcpIDd1B11SALT_A"
"bcpIDd1B11SALT_B",-0.0452158471799079,0.111702287933344,-0.404788908235162,0.685803071183483,"bcpIDd1B11SALT_B"
"bcpIDd1B12SALT_A",0.0198874349805925,0.00832101231502352,2.39002590402202,0.0172106550581211,"bcpIDd1B12SALT_A"
"bcpIDd1B12SALT_B",-0.0443679416302935,0.090484503260089,-0.49033746146301,0.624106833665982,"bcpIDd1B12SALT_B"
"bcpIDd1B1SALT_A",0.114750526508297,0.00829191712194829,13.8388414670182,0.00000000000000000000000000000000000034596383615178,"bcpIDd1B1SALT_A"
