"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"0000",0.219,0.5,0.781,0.594,0.433,0.531,0.3
"1000",0,0.031,0.094,0.156,0.2,0.25,0.233
"0100",0,0,0.031,0.031,0,0,0
"0010",0.031,0.094,0.031,0,0,0,0
"0001",0.031,0.094,0.031,0,0.033,0,0
"1100",0,0,0.031,0,0,0,0.033
"1010",0,0,0,0,0,0,0
"1001",0,0,0,0,0.067,0,0
"0101",0,0.031,0,0,0,0,0
"0110",0,0,0,0,0,0,0
"0011",0.281,0.062,0,0,0,0,0
"1110",0,0,0,0,0,0,0
"1101",0,0.031,0,0,0,0,0
"1011",0,0,0,0,0,0,0
"0111",0.062,0,0,0,0,0,0
"1111",0,0,0,0,0,0,0
"n_extinct",0.375,0.156,0,0.219,0.2,0.219,0.367
"n_tot",32,32,32,32,30,32,30
